col,row,label,height_cm
42,33,12,3cm
43,33,12,1cm
44,33,2,5cm
45,33,12,5cm
46,33,12,9cm
47,33,12,1cm
48,33,12,9cm
49,33,12,9cm
50,33,12,9cm
1,34,12,9cm
2,34,12,1cm
3,34,12,3cm
4,34,12,7cm
5,34,12,9cm
6,34,12,9cm
7,34,12,5cm
8,34,12,9cm
9,34,12,7cm
10,34,12,9cm
11,34,12,1cm
12,34,12,7cm
13,34,12,5cm
14,34,12,7cm
15,34,12,1cm
16,34,12,9cm
17,34,12,9cm
18,34,12,5cm
19,34,12,9cm
20,34,12,1cm
21,34,12,7cm
22,34,12,9cm
23,34,12,5cm
24,34,12,1cm
25,34,12,1cm
26,34,12,1cm
27,34,12,9cm
28,34,12,9cm
29,34,12,9cm
30,34,12,9cm
31,34,12,3cm
32,34,12,7cm
33,34,12,7cm
34,34,12,5cm
35,34,12,9cm
36,34,12,9cm
37,34,12,7cm
38,34,12,5cm
39,34,12,9cm
40,34,12,7cm
41,34,12,5cm
42,34,12,1cm
43,34,12,7cm
44,34,12,9cm
45,34,12,9cm
46,34,12,7cm
47,34,12,9cm
48,34,12,7cm
49,34,12,7cm
50,34,12,1cm
1,35,12,3cm
2,35,12,3cm
3,35,12,3cm
4,35,12,3cm
5,35,12,1cm
6,35,12,9cm
7,35,12,9cm
8,35,12,1cm
9,35,12,5cm
10,35,12,7cm
11,35,12,3cm
12,35,12,5cm
13,35,12,5cm
14,35,12,7cm
15,35,12,5cm
16,35,12,5cm
17,35,12,5cm
18,35,12,5cm
19,35,12,1cm
20,35,12,1cm
21,35,12,5cm
22,35,12,9cm
23,35,12,5cm
24,35,12,1cm
25,35,12,7cm
26,35,12,1cm
27,35,12,1cm
28,35,12,3cm
29,35,12,1cm
30,35,12,5cm
31,35,12,3cm
32,35,12,3cm
33,35,12,9cm
34,35,12,7cm
35,35,12,1cm
36,35,12,7cm
37,35,12,9cm
38,35,12,3cm
39,35,12,9cm
40,35,12,5cm
41,35,12,1cm
42,35,12,1cm
43,35,12,3cm
44,35,12,7cm
45,35,12,1cm
46,35,12,9cm
47,35,12,7cm
48,35,12,5cm
49,35,12,7cm
50,35,12,7cm
1,36,12,9cm
2,36,12,3cm
3,36,12,9cm
4,36,12,5cm
5,36,12,7cm
6,36,12,3cm
7,36,12,3cm
8,36,12,5cm
9,36,12,5cm
10,36,12,9cm
11,36,12,7cm
12,36,12,9cm
13,36,12,9cm
14,36,12,5cm
15,36,12,7cm
16,36,12,5cm
17,36,12,1cm
18,36,12,1cm
19,36,12,7cm
20,36,12,7cm
21,36,12,5cm
22,36,12,3cm
23,36,12,5cm
24,36,12,1cm
25,36,12,1cm
26,36,12,9cm
27,36,12,7cm
28,36,12,5cm
29,36,12,5cm
30,36,12,9cm
31,36,12,7cm
32,36,12,1cm
33,36,12,1cm
34,36,12,3cm
35,36,12,7cm
36,36,12,5cm
37,36,12,9cm
38,36,12,3cm
39,36,12,5cm
40,36,12,1cm
41,36,12,3cm
42,36,12,5cm
43,36,12,3cm
44,36,12,5cm
45,36,12,3cm
46,36,12,3cm
47,36,12,3cm
48,36,12,1cm
49,36,12,5cm
50,36,12,1cm
