col,row,width_m,height_m,hex_color,length_m
18,14,0.015,0.015,#13110D,0.01
19,14,0.015,0.015,#080504,0.01
20,14,0.015,0.015,#330E09,0.07
21,14,0.015,0.015,#371A08,0.07
22,14,0.015,0.015,#40211B,0.01
23,14,0.015,0.015,#1B140D,0.05
24,14,0.015,0.015,#13110D,0.05
25,14,0.015,0.015,#4A705E,0.09
26,14,0.015,0.015,#4A705E,0.05
27,14,0.015,0.015,#4A705E,0.09
28,14,0.015,0.015,#697866,0.07
29,14,0.015,0.015,#878172,0.09
30,14,0.015,0.015,#697866,0.09
31,14,0.015,0.015,#3A1D2D,0.09
32,14,0.015,0.015,#080504,0.05
33,14,0.015,0.015,#010B0B,0.05
34,14,0.015,0.015,#010B0B,0.03
35,14,0.015,0.015,#13110D,0.09
36,14,0.015,0.015,#1B140D,0.09
37,14,0.015,0.015,#13110D,0.09
38,14,0.015,0.015,#2B1D16,0.01
39,14,0.015,0.015,#4E3028,0.01
40,14,0.015,0.015,#40211B,0.05
41,14,0.015,0.015,#40211B,0.03
42,14,0.015,0.015,#664918,0.09
43,14,0.015,0.015,#4E3028,0.07
44,14,0.015,0.015,#4E3028,0.03
45,14,0.015,0.015,#4E3028,0.05
46,14,0.015,0.015,#40211B,0.01
47,14,0.015,0.015,#080504,0.09
48,14,0.015,0.015,#080504,0.09
49,14,0.015,0.015,#080504,0.01
50,14,0.015,0.015,#080504,0.07
1,15,0.015,0.015,#080504,0.07
2,15,0.015,0.015,#080504,0.07
3,15,0.015,0.015,#080504,0.05
4,15,0.015,0.015,#010B0B,0.09
5,15,0.015,0.015,#13110D,0.03
6,15,0.015,0.015,#13110D,0.01
7,15,0.015,0.015,#1B140D,0.05
8,15,0.015,0.015,#2B1D16,0.03
9,15,0.015,0.015,#1B140D,0.03
10,15,0.015,0.015,#2B1D16,0.07
11,15,0.015,0.015,#13110D,0.01
12,15,0.015,0.015,#1B140D,0.01
13,15,0.015,0.015,#010B0B,0.09
14,15,0.015,0.015,#010B0B,0.03
15,15,0.015,0.015,#061624,0.07
16,15,0.015,0.015,#061624,0.05
17,15,0.015,0.015,#10241E,0.05
18,15,0.015,0.015,#1B140D,0.05
19,15,0.015,0.015,#330E09,0.07
20,15,0.015,0.015,#4D360A,0.09
21,15,0.015,0.015,#664918,0.05
22,15,0.015,0.015,#2B1D16,0.05
23,15,0.015,0.015,#13110D,0.01
24,15,0.015,0.015,#080504,0.09
25,15,0.015,0.015,#314E3F,0.05
26,15,0.015,0.015,#26535D,0.03
27,15,0.015,0.015,#4A705E,0.03
28,15,0.015,0.015,#697866,0.03
29,15,0.015,0.015,#878172,0.09
30,15,0.015,0.015,#878172,0.07
31,15,0.015,0.015,#716155,0.05
32,15,0.015,0.015,#1B140D,0.07
33,15,0.015,0.015,#13110D,0.05
34,15,0.015,0.015,#10241E,0.01
35,15,0.015,0.015,#10241E,0.07
36,15,0.015,0.015,#080504,0.07
37,15,0.015,0.015,#2B1D16,0.03
38,15,0.015,0.015,#080504,0.05
39,15,0.015,0.015,#2B1D16,0.09
40,15,0.015,0.015,#40211B,0.07
41,15,0.015,0.015,#643735,0.03
42,15,0.015,0.015,#40211B,0.01
43,15,0.015,0.015,#4E3028,0.03
44,15,0.015,0.015,#4E3028,0.09
45,15,0.015,0.015,#371A08,0.09
46,15,0.015,0.015,#40211B,0.05
47,15,0.015,0.015,#080504,0.03
48,15,0.015,0.015,#080504,0.05
49,15,0.015,0.015,#080504,0.05
50,15,0.015,0.015,#080504,0.05
1,16,0.015,0.015,#080504,0.05
2,16,0.015,0.015,#080504,0.03
3,16,0.015,0.015,#080504,0.01
4,16,0.015,0.015,#13110D,0.07
5,16,0.015,0.015,#080504,0.05
6,16,0.015,0.015,#13110D,0.05
7,16,0.015,0.015,#2B1D16,0.09
8,16,0.015,0.015,#1B140D,0.05
9,16,0.015,0.015,#1B140D,0.07
10,16,0.015,0.015,#13110D,0.05
11,16,0.015,0.015,#13110D,0.03
12,16,0.015,0.015,#080504,0.07
13,16,0.015,0.015,#061624,0.09
14,16,0.015,0.015,#061624,0.07
15,16,0.015,0.015,#10241E,0.03
16,16,0.015,0.015,#09312F,0.05
17,16,0.015,0.015,#2B1D16,0.05
18,16,0.015,0.015,#080504,0.09
19,16,0.015,0.015,#1B140D,0.05
20,16,0.015,0.015,#40211B,0.03
21,16,0.015,0.015,#40211B,0.07
22,16,0.015,0.015,#13110D,0.05
23,16,0.015,0.015,#080504,0.09
24,16,0.015,0.015,#080504,0.03
25,16,0.015,0.015,#13110D,0.03
26,16,0.015,0.015,#22342B,0.03
27,16,0.015,0.015,#374534,0.05
28,16,0.015,0.015,#4A705E,0.05
29,16,0.015,0.015,#697866,0.05
30,16,0.015,0.015,#878172,0.05
31,16,0.015,0.015,#643735,0.01
32,16,0.015,0.015,#330E09,0.07
33,16,0.015,0.015,#2B1D16,0.07
34,16,0.015,0.015,#22342B,0.09
35,16,0.015,0.015,#10241E,0.05
36,16,0.015,0.015,#061624,0.05
37,16,0.015,0.015,#13110D,0.07
38,16,0.015,0.015,#1B140D,0.09
39,16,0.015,0.015,#13110D,0.05
40,16,0.015,0.015,#2B1D16,0.07
41,16,0.015,0.015,#40211B,0.09
42,16,0.015,0.015,#7E4541,0.03
43,16,0.015,0.015,#4E3028,0.07
44,16,0.015,0.015,#643735,0.05
45,16,0.015,0.015,#40211B,0.05
46,16,0.015,0.015,#2B1D16,0.07
47,16,0.015,0.015,#080504,0.05
48,16,0.015,0.015,#080504,0.07
49,16,0.015,0.015,#080504,0.07
50,16,0.015,0.015,#080504,0.03
1,17,0.015,0.015,#080504,0.01
2,17,0.015,0.015,#080504,0.01
3,17,0.015,0.015,#080504,0.01
4,17,0.015,0.015,#080504,0.01
5,17,0.015,0.015,#080504,0.03
6,17,0.015,0.015,#1B140D,0.05
7,17,0.015,0.015,#1B140D,0.05
8,17,0.015,0.015,#13110D,0.03
9,17,0.015,0.015,#13110D,0.09
10,17,0.015,0.015,#13110D,0.07
11,17,0.015,0.015,#010B0B,0.01
12,17,0.015,0.015,#061624,0.09
13,17,0.015,0.015,#061624,0.09
14,17,0.015,0.015,#061624,0.07
15,17,0.015,0.015,#314E3F,0.09
16,17,0.015,0.015,#124732,0.09
17,17,0.015,0.015,#2B1D16,0.09
18,17,0.015,0.015,#371A08,0.09
19,17,0.015,0.015,#4D360A,0.03
20,17,0.015,0.015,#5A502E,0.03
21,17,0.015,0.015,#40211B,0.09
22,17,0.015,0.015,#1B140D,0.05
23,17,0.015,0.015,#080504,0.09
24,17,0.015,0.015,#080504,0.03
25,17,0.015,0.015,#080504,0.07
26,17,0.015,0.015,#080504,0.03
27,17,0.015,0.015,#010B0B,0.03
28,17,0.015,0.015,#22342B,0.01
29,17,0.015,0.015,#40211B,0.03
30,17,0.015,0.015,#4E3028,0.09
31,17,0.015,0.015,#40211B,0.01
32,17,0.015,0.015,#330E09,0.01
33,17,0.015,0.015,#2B1D16,0.05
34,17,0.015,0.015,#374534,0.07
35,17,0.015,0.015,#09312F,0.03
36,17,0.015,0.015,#09312F,0.07
37,17,0.015,0.015,#124732,0.05
38,17,0.015,0.015,#010B0B,0.01
39,17,0.015,0.015,#1B140D,0.05
40,17,0.015,0.015,#13110D,0.09
41,17,0.015,0.015,#22342B,0.03
42,17,0.015,0.015,#2B1D16,0.03
43,17,0.015,0.015,#643735,0.01
44,17,0.015,0.015,#643735,0.07
45,17,0.015,0.015,#40211B,0.03
46,17,0.015,0.015,#40211B,0.05
47,17,0.015,0.015,#080504,0.07
48,17,0.015,0.015,#080504,0.09
49,17,0.015,0.015,#080504,0.07
50,17,0.015,0.015,#080504,0.07
1,18,0.015,0.015,#080504,0.05
2,18,0.015,0.015,#080504,0.01
3,18,0.015,0.015,#080504,0.05
4,18,0.015,0.015,#080504,0.09
5,18,0.015,0.015,#1B140D,0.07
6,18,0.015,0.015,#1B140D,0.01
7,18,0.015,0.015,#1B140D,0.01
8,18,0.015,0.015,#080504,0.09
9,18,0.015,0.015,#010B0B,0.09
10,18,0.015,0.015,#010B0B,0.05
11,18,0.015,0.015,#061624,0.07
12,18,0.015,0.015,#09312F,0.05
13,18,0.015,0.015,#09312F,0.05
14,18,0.015,0.015,#314E3F,0.09
15,18,0.015,0.015,#26535D,0.07
16,18,0.015,0.015,#314E3F,0.09
17,18,0.015,0.015,#2B1D16,0.03
18,18,0.015,0.015,#40211B,0.03
19,18,0.015,0.015,#4D360A,0.07
20,18,0.015,0.015,#5A502E,0.07
21,18,0.015,0.015,#40211B,0.09
22,18,0.015,0.015,#2B1D16,0.01
23,18,0.015,0.015,#080504,0.09
24,18,0.015,0.015,#080504,0.03
25,18,0.015,0.015,#080504,0.03
26,18,0.015,0.015,#080504,0.05
27,18,0.015,0.015,#080504,0.07
28,18,0.015,0.015,#2B1D16,0.09
29,18,0.015,0.015,#40211B,0.09
30,18,0.015,0.015,#664918,0.05
31,18,0.015,0.015,#40211B,0.07
32,18,0.015,0.015,#40211B,0.03
33,18,0.015,0.015,#2B1D16,0.03
34,18,0.015,0.015,#314E3F,0.01
35,18,0.015,0.015,#26535D,0.07
36,18,0.015,0.015,#09312F,0.09
37,18,0.015,0.015,#314E3F,0.05
38,18,0.015,0.015,#061624,0.01
39,18,0.015,0.015,#080504,0.09
40,18,0.015,0.015,#1B140D,0.03
41,18,0.015,0.015,#080504,0.01
42,18,0.015,0.015,#2B1D16,0.09
43,18,0.015,0.015,#40211B,0.01
44,18,0.015,0.015,#40211B,0.09
45,18,0.015,0.015,#371A08,0.01
46,18,0.015,0.015,#2B1D16,0.01
47,18,0.015,0.015,#080504,0.01
48,18,0.015,0.015,#080504,0.03
49,18,0.015,0.015,#080504,0.09
50,18,0.015,0.015,#080504,0.03
1,19,0.015,0.015,#080504,0.01
2,19,0.015,0.015,#080504,0.01
3,19,0.015,0.015,#080504,0.01
4,19,0.015,0.015,#1B140D,0.01
5,19,0.015,0.015,#1B140D,0.07
6,19,0.015,0.015,#13110D,0.09
7,19,0.015,0.015,#13110D,0.07
8,19,0.015,0.015,#080504,0.01
9,19,0.015,0.015,#010B0B,0.05
10,19,0.015,0.015,#061624,0.07
11,19,0.015,0.015,#09312F,0.09
12,19,0.015,0.015,#124732,0.07
13,19,0.015,0.015,#26535D,0.05
14,19,0.015,0.015,#314E3F,0.05
15,19,0.015,0.015,#26535D,0.07
16,19,0.015,0.015,#26535D,0.05
17,19,0.015,0.015,#2B1D16,0.05
18,19,0.015,0.015,#4D360A,0.09
19,19,0.015,0.015,#664918,0.03
20,19,0.015,0.015,#7F4E20,0.01
21,19,0.015,0.015,#664918,0.03
22,19,0.015,0.015,#2B1D16,0.01
23,19,0.015,0.015,#1B140D,0.09
24,19,0.015,0.015,#080504,0.07
25,19,0.015,0.015,#080504,0.07
26,19,0.015,0.015,#080504,0.05
27,19,0.015,0.015,#1B140D,0.01
28,19,0.015,0.015,#2B1D16,0.01
29,19,0.015,0.015,#664918,0.01
30,19,0.015,0.015,#7F4E20,0.07
31,19,0.015,0.015,#4D360A,0.09
32,19,0.015,0.015,#330E09,0.03
33,19,0.015,0.015,#22342B,0.09
34,19,0.015,0.015,#26535D,0.09
35,19,0.015,0.015,#26535D,0.09
36,19,0.015,0.015,#09312F,0.01
37,19,0.015,0.015,#314E3F,0.03
38,19,0.015,0.015,#10241E,0.03
39,19,0.015,0.015,#010B0B,0.01
40,19,0.015,0.015,#080504,0.01
41,19,0.015,0.015,#13110D,0.03
42,19,0.015,0.015,#080504,0.03
43,19,0.015,0.015,#1B140D,0.07
44,19,0.015,0.015,#4E3028,0.07
45,19,0.015,0.015,#330E09,0.05
46,19,0.015,0.015,#1B140D,0.09
47,19,0.015,0.015,#13110D,0.03
48,19,0.015,0.015,#080504,0.05
49,19,0.015,0.015,#080504,0.03
50,19,0.015,0.015,#080504,0.01
1,20,0.015,0.015,#080504,0.05
2,20,0.015,0.015,#080504,0.05
3,20,0.015,0.015,#080504,0.03
4,20,0.015,0.015,#1B140D,0.03
5,20,0.015,0.015,#080504,0.05
6,20,0.015,0.015,#13110D,0.09
7,20,0.015,0.015,#080504,0.07
8,20,0.015,0.015,#010B0B,0.07
9,20,0.015,0.015,#061624,0.03
10,20,0.015,0.015,#010B0B,0.01
11,20,0.015,0.015,#010B0B,0.01
12,20,0.015,0.015,#010B0B,0.09
13,20,0.015,0.015,#10241E,0.03
14,20,0.015,0.015,#22342B,0.03
15,20,0.015,0.015,#26535D,0.03
16,20,0.015,0.015,#26535D,0.09
17,20,0.015,0.015,#22342B,0.03
18,20,0.015,0.015,#681701,0.07
19,20,0.015,0.015,#7F4E20,0.01
20,20,0.015,0.015,#7F4E20,0.05
21,20,0.015,0.015,#371A08,0.09
22,20,0.015,0.015,#2B1D16,0.09
23,20,0.015,0.015,#1B140D,0.01
24,20,0.015,0.015,#1B140D,0.03
25,20,0.015,0.015,#1B140D,0.05
26,20,0.015,0.015,#1B140D,0.09
27,20,0.015,0.015,#1B140D,0.03
28,20,0.015,0.015,#40211B,0.05
29,20,0.015,0.015,#5A502E,0.01
30,20,0.015,0.015,#4E3028,0.09
31,20,0.015,0.015,#2B1D16,0.07
32,20,0.015,0.015,#330E09,0.03
33,20,0.015,0.015,#374534,0.03
34,20,0.015,0.015,#26535D,0.05
35,20,0.015,0.015,#024443,0.03
36,20,0.015,0.015,#024443,0.03
37,20,0.015,0.015,#09312F,0.05
38,20,0.015,0.015,#10241E,0.09
39,20,0.015,0.015,#010B0B,0.01
40,20,0.015,0.015,#080504,0.03
41,20,0.015,0.015,#080504,0.07
42,20,0.015,0.015,#080504,0.07
43,20,0.015,0.015,#080504,0.09
44,20,0.015,0.015,#1B140D,0.09
45,20,0.015,0.015,#4E3028,0.09
46,20,0.015,0.015,#1B140D,0.09
47,20,0.015,0.015,#080504,0.01
48,20,0.015,0.015,#080504,0.09
49,20,0.015,0.015,#080504,0.09
50,20,0.015,0.015,#080504,0.01
1,21,0.015,0.015,#080504,0.09
2,21,0.015,0.015,#080504,0.09
3,21,0.015,0.015,#080504,0.09
4,21,0.015,0.015,#080504,0.05
5,21,0.015,0.015,#080504,0.03
6,21,0.015,0.015,#080504,0.05
7,21,0.015,0.015,#080504,0.05
8,21,0.015,0.015,#010B0B,0.03
9,21,0.015,0.015,#061624,0.09
10,21,0.015,0.015,#09312F,0.03
11,21,0.015,0.015,#024443,0.03
12,21,0.015,0.015,#09312F,0.09
13,21,0.015,0.015,#124732,0.09
14,21,0.015,0.015,#22342B,0.09
15,21,0.015,0.015,#26535D,0.09
16,21,0.015,0.015,#024443,0.07
17,21,0.015,0.015,#09312F,0.01
18,21,0.015,0.015,#40211B,0.01
19,21,0.015,0.015,#7E3021,0.01
20,21,0.015,0.015,#664918,0.01
21,21,0.015,0.015,#080504,0.03
22,21,0.015,0.015,#664918,0.09
23,21,0.015,0.015,#4D360A,0.03
24,21,0.015,0.015,#2B1D16,0.03
25,21,0.015,0.015,#2B1D16,0.01
26,21,0.015,0.015,#40211B,0.05
27,21,0.015,0.015,#664918,0.01
28,21,0.015,0.015,#4E3028,0.01
29,21,0.015,0.015,#5A502E,0.05
30,21,0.015,0.015,#40211B,0.05
31,21,0.015,0.015,#6C192D,0.01
32,21,0.015,0.015,#2B1D16,0.01
33,21,0.015,0.015,#124732,0.05
34,21,0.015,0.015,#26535D,0.05
35,21,0.015,0.015,#09312F,0.07
36,21,0.015,0.015,#09312F,0.03
37,21,0.015,0.015,#09312F,0.05
38,21,0.015,0.015,#10241E,0.03
39,21,0.015,0.015,#010B0B,0.01
40,21,0.015,0.015,#080504,0.03
41,21,0.015,0.015,#1B140D,0.05
42,21,0.015,0.015,#13110D,0.07
43,21,0.015,0.015,#080504,0.03
44,21,0.015,0.015,#080504,0.01
45,21,0.015,0.015,#080504,0.03
46,21,0.015,0.015,#080504,0.01
47,21,0.015,0.015,#080504,0.07
48,21,0.015,0.015,#080504,0.07
49,21,0.015,0.015,#080504,0.03
50,21,0.015,0.015,#080504,0.05
1,22,0.015,0.015,#080504,0.07
2,22,0.015,0.015,#080504,0.05
3,22,0.015,0.015,#080504,0.03
4,22,0.015,0.015,#080504,0.07
5,22,0.015,0.015,#080504,0.03
6,22,0.015,0.015,#080504,0.05
7,22,0.015,0.015,#080504,0.03
8,22,0.015,0.015,#010B0B,0.07
9,22,0.015,0.015,#061624,0.01
10,22,0.015,0.015,#061624,0.09
11,22,0.015,0.015,#10241E,0.07
12,22,0.015,0.015,#22342B,0.09
13,22,0.015,0.015,#09312F,0.05
14,22,0.015,0.015,#223710,0.05
15,22,0.015,0.015,#314E3F,0.09
16,22,0.015,0.015,#024443,0.09
17,22,0.015,0.015,#024443,0.09
18,22,0.015,0.015,#22342B,0.07
19,22,0.015,0.015,#681701,0.03
20,22,0.015,0.015,#7E3021,0.01
21,22,0.015,0.015,#40211B,0.05
22,22,0.015,0.015,#664918,0.07
23,22,0.015,0.015,#664918,0.01
24,22,0.015,0.015,#4E3028,0.05
25,22,0.015,0.015,#7F4E20,0.01
26,22,0.015,0.015,#7F4E20,0.09
27,22,0.015,0.015,#6D4D04,0.05
28,22,0.015,0.015,#4D360A,0.03
29,22,0.015,0.015,#4D360A,0.09
30,22,0.015,0.015,#7E3021,0.05
31,22,0.015,0.015,#330E09,0.09
32,22,0.015,0.015,#22342B,0.05
33,22,0.015,0.015,#26535D,0.07
34,22,0.015,0.015,#024443,0.07
35,22,0.015,0.015,#09312F,0.05
36,22,0.015,0.015,#09312F,0.05
37,22,0.015,0.015,#061624,0.01
38,22,0.015,0.015,#1B140D,0.07
39,22,0.015,0.015,#40211B,0.01
40,22,0.015,0.015,#4E3028,0.07
41,22,0.015,0.015,#643735,0.03
42,22,0.015,0.015,#716155,0.03
43,22,0.015,0.015,#716155,0.05
44,22,0.015,0.015,#4E3028,0.05
45,22,0.015,0.015,#1B140D,0.05
46,22,0.015,0.015,#080504,0.09
47,22,0.015,0.015,#080504,0.09
48,22,0.015,0.015,#080504,0.07
49,22,0.015,0.015,#080504,0.07
50,22,0.015,0.015,#080504,0.07
1,23,0.015,0.015,#080504,0.05
2,23,0.015,0.015,#080504,0.05
3,23,0.015,0.015,#080504,0.03
4,23,0.015,0.015,#1B140D,0.07
5,23,0.015,0.015,#330E09,0.05
6,23,0.015,0.015,#1B140D,0.07
7,23,0.015,0.015,#1B140D,0.07
8,23,0.015,0.015,#330E09,0.01
9,23,0.015,0.015,#1B140D,0.01
10,23,0.015,0.015,#13110D,0.05
11,23,0.015,0.015,#10241E,0.01
12,23,0.015,0.015,#10241E,0.07
13,23,0.015,0.015,#10241E,0.07
14,23,0.015,0.015,#10241E,0.07
15,23,0.015,0.015,#2C491D,0.05
16,23,0.015,0.015,#4E6622,0.07
17,23,0.015,0.015,#26535D,0.01
18,23,0.015,0.015,#09312F,0.01
19,23,0.015,0.015,#40211B,0.01
20,23,0.015,0.015,#681701,0.01
21,23,0.015,0.015,#7E3021,0.09
22,23,0.015,0.015,#7E3021,0.01
23,23,0.015,0.015,#40211B,0.05
24,23,0.015,0.015,#7E3021,0.01
25,23,0.015,0.015,#7E3021,0.03
26,23,0.015,0.015,#7E3021,0.05
27,23,0.015,0.015,#7E3021,0.01
28,23,0.015,0.015,#40211B,0.05
29,23,0.015,0.015,#40211B,0.09
30,23,0.015,0.015,#371A08,0.03
31,23,0.015,0.015,#22342B,0.09
32,23,0.015,0.015,#024443,0.03
33,23,0.015,0.015,#024443,0.09
34,23,0.015,0.015,#024443,0.01
35,23,0.015,0.015,#09312F,0.07
36,23,0.015,0.015,#10241E,0.07
37,23,0.015,0.015,#4E3028,0.07
38,23,0.015,0.015,#643735,0.01
39,23,0.015,0.015,#643735,0.01
40,23,0.015,0.015,#716155,0.05
41,23,0.015,0.015,#716155,0.09
42,23,0.015,0.015,#2B1D16,0.09
43,23,0.015,0.015,#2B1D16,0.01
44,23,0.015,0.015,#1B140D,0.01
45,23,0.015,0.015,#1B140D,0.01
46,23,0.015,0.015,#13110D,0.05
47,23,0.015,0.015,#080504,0.01
48,23,0.015,0.015,#080504,0.07
49,23,0.015,0.015,#080504,0.05
50,23,0.015,0.015,#080504,0.01
1,24,0.015,0.015,#080504,0.01
2,24,0.015,0.015,#080504,0.07
3,24,0.015,0.015,#080504,0.07
4,24,0.015,0.015,#080504,0.07
5,24,0.015,0.015,#2B1D16,0.07
6,24,0.015,0.015,#2B1D16,0.07
7,24,0.015,0.015,#40211B,0.07
8,24,0.015,0.015,#40211B,0.07
9,24,0.015,0.015,#40211B,0.09
10,24,0.015,0.015,#40211B,0.05
11,24,0.015,0.015,#40211B,0.03
12,24,0.015,0.015,#1B140D,0.01
13,24,0.015,0.015,#13110D,0.07
14,24,0.015,0.015,#13110D,0.03
15,24,0.015,0.015,#182501,0.07
16,24,0.015,0.015,#2C491D,0.07
17,24,0.015,0.015,#314E3F,0.03
18,24,0.015,0.015,#124732,0.09
19,24,0.015,0.015,#10241E,0.03
20,24,0.015,0.015,#22342B,0.03
21,24,0.015,0.015,#40211B,0.09
22,24,0.015,0.015,#7E3021,0.05
23,24,0.015,0.015,#7E3021,0.05
24,24,0.015,0.015,#7E3021,0.05
25,24,0.015,0.015,#7E3021,0.07
26,24,0.015,0.015,#4E3028,0.01
27,24,0.015,0.015,#7E3021,0.07
28,24,0.015,0.015,#40211B,0.01
29,24,0.015,0.015,#2B1D16,0.03
30,24,0.015,0.015,#374534,0.03
31,24,0.015,0.015,#124732,0.03
32,24,0.015,0.015,#09312F,0.01
33,24,0.015,0.015,#09312F,0.03
34,24,0.015,0.015,#22342B,0.09
35,24,0.015,0.015,#5A502E,0.07
36,24,0.015,0.015,#716155,0.03
37,24,0.015,0.015,#5A502E,0.05
38,24,0.015,0.015,#5A502E,0.05
39,24,0.015,0.015,#4E3028,0.07
40,24,0.015,0.015,#2B1D16,0.07
41,24,0.015,0.015,#40211B,0.03
42,24,0.015,0.015,#4E3028,0.05
43,24,0.015,0.015,#371A08,0.07
44,24,0.015,0.015,#40211B,0.09
45,24,0.015,0.015,#13110D,0.01
46,24,0.015,0.015,#080504,0.05
47,24,0.015,0.015,#080504,0.05
48,24,0.015,0.015,#080504,0.03
49,24,0.015,0.015,#080504,0.03
50,24,0.015,0.015,#080504,0.09
1,25,0.015,0.015,#080504,0.07
2,25,0.015,0.015,#080504,0.07
3,25,0.015,0.015,#080504,0.09
4,25,0.015,0.015,#080504,0.01
5,25,0.015,0.015,#080504,0.01
6,25,0.015,0.015,#2B1D16,0.03
7,25,0.015,0.015,#13110D,0.05
8,25,0.015,0.015,#1B140D,0.09
9,25,0.015,0.015,#2B1D16,0.05
10,25,0.015,0.015,#40211B,0.05
11,25,0.015,0.015,#40211B,0.05
12,25,0.015,0.015,#40211B,0.01
13,25,0.015,0.015,#40211B,0.01
14,25,0.015,0.015,#1B140D,0.01
15,25,0.015,0.015,#1B140D,0.01
16,25,0.015,0.015,#223710,0.07
17,25,0.015,0.015,#4E6622,0.01
18,25,0.015,0.015,#4E6622,0.01
19,25,0.015,0.015,#314E3F,0.01
20,25,0.015,0.015,#124732,0.09
21,25,0.015,0.015,#22342B,0.07
22,25,0.015,0.015,#3A1D2D,0.03
23,25,0.015,0.015,#40211B,0.03
24,25,0.015,0.015,#40211B,0.03
25,25,0.015,0.015,#40211B,0.05
26,25,0.015,0.015,#2B1D16,0.03
27,25,0.015,0.015,#40211B,0.03
28,25,0.015,0.015,#40211B,0.01
29,25,0.015,0.015,#314E3F,0.01
30,25,0.015,0.015,#024443,0.01
31,25,0.015,0.015,#09312F,0.01
32,25,0.015,0.015,#22342B,0.09
33,25,0.015,0.015,#5A684C,0.07
34,25,0.015,0.015,#716155,0.07
35,25,0.015,0.015,#716155,0.01
36,25,0.015,0.015,#5A502E,0.01
37,25,0.015,0.015,#40211B,0.07
38,25,0.015,0.015,#40211B,0.01
39,25,0.015,0.015,#40211B,0.03
40,25,0.015,0.015,#2B1D16,0.03
41,25,0.015,0.015,#4E3028,0.07
42,25,0.015,0.015,#4E3028,0.09
43,25,0.015,0.015,#2B1D16,0.01
44,25,0.015,0.015,#1B140D,0.01
45,25,0.015,0.015,#2B1D16,0.03
46,25,0.015,0.015,#1B140D,0.03
47,25,0.015,0.015,#080504,0.07
48,25,0.015,0.015,#080504,0.01
49,25,0.015,0.015,#080504,0.03
50,25,0.015,0.015,#080504,0.09
1,26,0.015,0.015,#080504,0.05
2,26,0.015,0.015,#080504,0.03
3,26,0.015,0.015,#080504,0.03
4,26,0.015,0.015,#080504,0.03
5,26,0.015,0.015,#080504,0.01
6,26,0.015,0.015,#080504,0.03
7,26,0.015,0.015,#080504,0.03
8,26,0.015,0.015,#13110D,0.05
9,26,0.015,0.015,#13110D,0.03
10,26,0.015,0.015,#2B1D16,0.07
11,26,0.015,0.015,#40211B,0.03
12,26,0.015,0.015,#4E3028,0.07
13,26,0.015,0.015,#5A502E,0.09
14,26,0.015,0.015,#4E3028,0.09
15,26,0.015,0.015,#5A502E,0.03
16,26,0.015,0.015,#4E3028,0.09
17,26,0.015,0.015,#40211B,0.09
18,26,0.015,0.015,#2C491D,0.09
19,26,0.015,0.015,#2C491D,0.03
20,26,0.015,0.015,#314E3F,0.09
21,26,0.015,0.015,#26535D,0.03
22,26,0.015,0.015,#26535D,0.09
23,26,0.015,0.015,#024443,0.07
24,26,0.015,0.015,#124732,0.09
25,26,0.015,0.015,#124732,0.07
26,26,0.015,0.015,#22342B,0.05
27,26,0.015,0.015,#09312F,0.05
28,26,0.015,0.015,#22342B,0.01
29,26,0.015,0.015,#314E3F,0.03
30,26,0.015,0.015,#314E3F,0.03
31,26,0.015,0.015,#716155,0.01
32,26,0.015,0.015,#716155,0.01
33,26,0.015,0.015,#5A502E,0.01
34,26,0.015,0.015,#5A502E,0.05
35,26,0.015,0.015,#4E3028,0.07
36,26,0.015,0.015,#2B1D16,0.07
37,26,0.015,0.015,#4E3028,0.09
38,26,0.015,0.015,#40211B,0.09
39,26,0.015,0.015,#40211B,0.01
40,26,0.015,0.015,#7E4541,0.09
41,26,0.015,0.015,#5A502E,0.07
42,26,0.015,0.015,#2B1D16,0.01
43,26,0.015,0.015,#4E3028,0.03
44,26,0.015,0.015,#4E3028,0.07
45,26,0.015,0.015,#2B1D16,0.05
46,26,0.015,0.015,#1B140D,0.09
47,26,0.015,0.015,#080504,0.05
48,26,0.015,0.015,#080504,0.03
49,26,0.015,0.015,#080504,0.09
50,26,0.015,0.015,#080504,0.05
1,27,0.015,0.015,#080504,0.03
2,27,0.015,0.015,#080504,0.03
3,27,0.015,0.015,#080504,0.07
4,27,0.015,0.015,#080504,0.09
5,27,0.015,0.015,#080504,0.01
6,27,0.015,0.015,#080504,0.05
7,27,0.015,0.015,#080504,0.03
8,27,0.015,0.015,#13110D,0.03
9,27,0.015,0.015,#1B140D,0.09
10,27,0.015,0.015,#13110D,0.09
11,27,0.015,0.015,#1B140D,0.03
12,27,0.015,0.015,#1B140D,0.01
13,27,0.015,0.015,#1B140D,0.01
14,27,0.015,0.015,#40211B,0.09
15,27,0.015,0.015,#40211B,0.05
16,27,0.015,0.015,#40211B,0.05
17,27,0.015,0.015,#5A502E,0.09
18,27,0.015,0.015,#5A502E,0.09
19,27,0.015,0.015,#5A502E,0.07
20,27,0.015,0.015,#5A502E,0.05
21,27,0.015,0.015,#5A502E,0.09
22,27,0.015,0.015,#5A502E,0.05
23,27,0.015,0.015,#5A502E,0.05
24,27,0.015,0.015,#5A502E,0.07
25,27,0.015,0.015,#5A502E,0.07
26,27,0.015,0.015,#7E4541,0.03
27,27,0.015,0.015,#7E4541,0.01
28,27,0.015,0.015,#716155,0.09
29,27,0.015,0.015,#5A502E,0.09
30,27,0.015,0.015,#5A502E,0.09
