col,row,width_m,height_m,hex_color,length_m
39,3,0.015,0.015,#080504,0.03
40,3,0.015,0.015,#080504,0.01
41,3,0.015,0.015,#080504,0.09
42,3,0.015,0.015,#080504,0.07
43,3,0.015,0.015,#080504,0.01
44,3,0.015,0.015,#080504,0.03
45,3,0.015,0.015,#080504,0.01
46,3,0.015,0.015,#080504,0.03
47,3,0.015,0.015,#080504,0.07
48,3,0.015,0.015,#080504,0.07
49,3,0.015,0.015,#080504,0.01
50,3,0.015,0.015,#080504,0.09
1,4,0.015,0.015,#080504,0.07
2,4,0.015,0.015,#080504,0.09
3,4,0.015,0.015,#080504,0.01
4,4,0.015,0.015,#080504,0.07
5,4,0.015,0.015,#080504,0.01
6,4,0.015,0.015,#080504,0.09
7,4,0.015,0.015,#080504,0.01
8,4,0.015,0.015,#080504,0.07
9,4,0.015,0.015,#080504,0.03
10,4,0.015,0.015,#080504,0.05
11,4,0.015,0.015,#080504,0.07
12,4,0.015,0.015,#080504,0.05
13,4,0.015,0.015,#080504,0.09
14,4,0.015,0.015,#080504,0.09
15,4,0.015,0.015,#080504,0.05
16,4,0.015,0.015,#080504,0.05
17,4,0.015,0.015,#080504,0.05
18,4,0.015,0.015,#080504,0.07
19,4,0.015,0.015,#080504,0.01
20,4,0.015,0.015,#080504,0.03
21,4,0.015,0.015,#080504,0.09
22,4,0.015,0.015,#080504,0.07
23,4,0.015,0.015,#1B140D,0.03
24,4,0.015,0.015,#2B1D16,0.09
25,4,0.015,0.015,#2B1D16,0.03
26,4,0.015,0.015,#13110D,0.05
27,4,0.015,0.015,#13110D,0.09
28,4,0.015,0.015,#13110D,0.01
29,4,0.015,0.015,#13110D,0.05
30,4,0.015,0.015,#080504,0.09
31,4,0.015,0.015,#080504,0.05
32,4,0.015,0.015,#080504,0.09
33,4,0.015,0.015,#080504,0.07
34,4,0.015,0.015,#080504,0.07
35,4,0.015,0.015,#080504,0.09
36,4,0.015,0.015,#080504,0.09
37,4,0.015,0.015,#080504,0.03
38,4,0.015,0.015,#080504,0.07
39,4,0.015,0.015,#080504,0.03
40,4,0.015,0.015,#080504,0.07
41,4,0.015,0.015,#080504,0.01
42,4,0.015,0.015,#080504,0.01
43,4,0.015,0.015,#080504,0.09
44,4,0.015,0.015,#080504,0.09
45,4,0.015,0.015,#080504,0.09
46,4,0.015,0.015,#080504,0.05
47,4,0.015,0.015,#080504,0.05
48,4,0.015,0.015,#080504,0.07
49,4,0.015,0.015,#080504,0.07
50,4,0.015,0.015,#080504,0.07
1,5,0.015,0.015,#080504,0.09
2,5,0.015,0.015,#080504,0.09
3,5,0.015,0.015,#080504,0.01
4,5,0.015,0.015,#080504,0.07
5,5,0.015,0.015,#080504,0.09
6,5,0.015,0.015,#080504,0.07
7,5,0.015,0.015,#080504,0.07
8,5,0.015,0.015,#080504,0.03
9,5,0.015,0.015,#080504,0.03
10,5,0.015,0.015,#080504,0.09
11,5,0.015,0.015,#080504,0.03
12,5,0.015,0.015,#080504,0.07
13,5,0.015,0.015,#080504,0.07
14,5,0.015,0.015,#080504,0.07
15,5,0.015,0.015,#080504,0.09
16,5,0.015,0.015,#080504,0.07
17,5,0.015,0.015,#080504,0.03
18,5,0.015,0.015,#13110D,0.03
